1. ORT, 9.8
#(Персонаж)Black Souls - "Это я~" Лидер фей Волшебного Леса, специализирующаяся на магии ветра и света, а также на исцелении и усилении союзников. Совершенно точно не садомазохистское Внешнее Божество, скрывающееся под обликом феи, так что беспокоиться не о чем. К счастью, хаос немного сдерживает её натуру.
53. Сакабамбаспис, 0.1
#Древняя рыба с крайне глупым внешним видом, лишённая челюсти и обладающая постоянной дурацкой улыбкой. Кроме того, по форме напоминает нелепый дверной упор.
54. Тёмная Магическая Девушка, 4.3
#(Персонаж)Yu-Gi-Oh! - Магическая девушка и духовная наследница знаменитого Тёмного Мага. Она способна использовать различные заклинания, включая кратковременные порталы, тёмную магию, атакующие и защитные чары.
55. Ксеноморф, 4.0
#Высший хищник из космоса, значительно превосходящий человека по силе и известный своей невероятной способностью к адаптации и размножению. Один ксеноморф способен создавать гибридов, заражая представителей других рас лицехватами. Даже одного достаточно, чтобы со временем основать собственную колонию и армию.
56. Себас Тиан, 5.5
#(Персонаж)Overlord - Настоящий образец дворецкого. Себас — драконоидный мастер боевых искусств и монах с выдающимися физическими характеристиками. Он способен искусно использовать Ки и превращаться в свою драконоидную форму. Но прежде всего он невероятно компетентный и преданный дворецкий.
57. Пожиратель Душ, 4.6
#Overlord - Легендарный неживой скелетный конь, внушающий ужас всем, кто о нём знает. Миазмы вокруг Пожирателя Душ способны убивать существ слабее него. Любой, кто погибает рядом с ним, теряет душу, которая переходит во власть этого существа. Он может поглощать души для усиления собственных характеристик или передавать их своему хозяину. Также обладает внушительными физическими способностями и умеет использовать врождённую магию смерти. Эффекты миазмов и поглощения душ можно отключать.
58. Москитодевушка, 4.7
#(Персонаж)One Punch Man - Биоинженерное существо, напоминающее гуманоидную женщину-комара. Она обладает впечатляющими физическими характеристиками и огромной скоростью, позволяющей эффективно использовать свои когти. Кроме того, она способна управлять всеми комарами в огромном радиусе и поглощать кровь для усиления собственных физических возможностей.
59. Джуб-Джуб, 4.2
#(Персонаж)Black Souls - Один из Четырёх Кошмаров Страны Чудес, сада Ползущих Существ. Джуб-Джуб обладает огромной физической силой и способна использовать базовую магию, однако её главная способность — распространение безумия и помешательства. Она может свести с ума целые города и даже страны. Её воздействие на разум невероятно мощно, и сопротивляться ему способны лишь те, кто сильнее её или обладает исключительной силой воли.
60. Василиск, 2.8
#Hota - Крупная шестилапая рептилия со сверхъестественной силой, невосприимчивая к обычному оружию и обладающая мощью десяти человек. Взгляд и яд василиска способны превращать цели в камень. Чем сильнее цель, тем труднее её окаменить. Василиски способны к бесполому размножению. По крайней мере этот точно способен.
61. Мимик, 2.8
#Любопытное кровожадное существо-оборотень. Мимик способен принимать форму любого существа или предмета, а также изменять свою текстуру и плотность. Он может превратиться в сундук, в женщину с большой грудью или даже в ездовое животное. Чем больше плоти он получает в пищу, особенно человеческой, тем крупнее и сильнее становится. Если кормить его мозгами, он может даже стать умнее.
62. Собака, 0.1
#Любая собака по вашему выбору. При первом призыве фамильяр принимает форму пса, наиболее подходящего именно вам. По умолчанию это золотистый ретривер с очень мягкой шерстью.
63. Кошка, 0.2
#Любая кошка по вашему выбору. При первом призыве фамильяр принимает форму кошки, наиболее совместимой с вами. По умолчанию это рыжий кот с очень мягкой шерстью.
64. Лев, 1.2
#Величественный лев-компаньон. Как фамильяр он обладает отличной генетикой, интеллектом, близким к человеческому, и достаточно крупными размерами для верховой езды. По умолчанию это самка.
65. Тигр, 1.3
#Свирепый тигр-компаньон. Как фамильяр он обладает отличной генетикой, интеллектом, близким к человеческому, и достаточно крупными размерами для верховой езды. По умолчанию это самка.
66. Снежный Тигр, 1.6
#Свирепый снежный тигр-компаньон. Он обладает отличной генетикой и интеллектом, близким к человеческому. Благодаря своей редкости значительно крупнее обычных львов и пригоден для верховой езды. По умолчанию это самка.
67. Бурый Медведь, 1.0
#Обычный крупный бурый медведь-компаньон. Как фамильяр он обладает превосходной генетикой и интеллектом, близким к человеческому. Он способен выдерживать большинство выстрелов из лёгкого огнестрельного оружия и раздавить человека словно яблоко. По умолчанию это самка.
68. Армия Нежити, 4.2
#Ваша собственная армия нежити. Её численность растёт вместе с вашей силой, а погибшие бойцы возвращаются к жизни, если вы тратите магическую энергию. Армия начинается с 30 скелетов-воинов, 20 скелетов-лучников, 5 скелетов-всадников и 5 скелетов-магов. По мере вашего усиления растут как количество, так и качество нежити.
69. Щитомордник, 0.6
#Умный змеиный компаньон вида щитомордников. В остальном он просто представляет собой предел возможностей своего вида и немного умнее обычных змей.
70. Гоблин, 1.2
#(Персонаж)Маленькие зелёные гуманоиды размером с ребёнка. Они жестоки, агрессивны и способны пользоваться оружием и простыми тактиками. Однако этот гоблин заметно умнее и более самосознателен, чем обычные представители вида. Кроме того, он способен размножаться с любыми гуманоидными расами. По умолчанию это самка.
71. Виверна, 2.3
#Крупная крылатая рептилия, обитающая в небесах и обладающая огненным дыханием. Её часто называют младшим драконом. Виверна способна без труда проглотить человека целиком и испепелить огнём целый батальон. Эта виверна является самкой и может откладывать яйца для размножения.
72. Лютоволк, 1.5
#Крупный свирепый доисторический волк размером с человека. Он обладает большой силой, мощными челюстями и острыми когтями. Благодаря своим размерам может использоваться как ездовое животное. По умолчанию является самкой и способен размножаться.
73. Адский Пёс, 2.1
#Крупная свирепая гончая из подземного мира. Размером примерно с человека, обладает пастью, наполненной пламенем, которое способна извергать. Достаточно сильна, чтобы без труда разорвать взрослого человека пополам. По умолчанию является самкой и способна размножаться.
74. Цербер, 3.2
#(Персонаж)Helltaker - Совсем не тот адский пёс, которого вы ожидали увидеть. Цербер, известная как Тройной Демон, представляет собой одну демоницу с чертами адского пса, обладающую тремя телами и одной душой. Она физически достаточно сильна, чтобы разорвать взрослого человека пополам, а также на удивление хорошо справляется с офисной работой и повседневными поручениями.
75. Ворон, 0.8
#Очень умный и преданный ворон-компаньон с интеллектом на уровне человека. Он способен искать и приносить блестящие предметы или выполнять любые задачи, доступные обычному ворону.
76. Дитто, 3.8
#Pokemon - Аморфная фиолетовая масса с простоватым выражением лица. Дитто способен превращаться в любое существо, которое видит, копируя его способности с поправкой на собственный уровень силы, за исключением прочности. При этом он не получает воспоминания и интеллект цели. Дитто бесполый и способен размножаться с представителями любой расы.
77. Элементаль Пустыни, 3.6
#Calamity Mod - Пара сестёр-элементалей, рождённых из движущихся песков пустыни. Одна из сестёр способна создавать и контролировать песок для атаки и защиты, тогда как другая владеет исцеляющей магией.
78. Элементаль Бури, 3.3
#Calamity Mod - Одинокая элементаль, рождённая среди дождевых небес. Будучи воплощением стихии воздуха, она способна управлять ветром, облаками и молниями.
